scenario,assumption,seed,outcome,disease,n_total,n_sole,n_shared
anc_1screen_90cov,strong_effects,263000,ptb,tv,307110,93090,214020
anc_1screen_90cov,strong_effects,263000,ptb,syph,549840,362790,187050
anc_1screen_90cov,strong_effects,263000,ptb,none,354960,354960,0
anc_1screen_90cov,strong_effects,263000,lbw,ng,35670,1740,33930
anc_1screen_90cov,strong_effects,263000,lbw,ct,135720,10440,125280
anc_1screen_90cov,strong_effects,263000,lbw,tv,168780,13920,154860
anc_1screen_90cov,strong_effects,263000,lbw,syph,488070,291450,196620
anc_1screen_90cov,strong_effects,263000,lbw,none,60900,60900,0
anc_1screen_90cov,strong_effects,263000,stillbirth,syph,40020,40020,0
anc_1screen_90cov,strong_effects,263000,nnd,syph,7830,7830,0
anc_2screen_90cov,no_treatment_effect,263000,ptb,ng,136590,5220,131370
anc_2screen_90cov,no_treatment_effect,263000,ptb,ct,443700,118320,325380
anc_2screen_90cov,no_treatment_effect,263000,ptb,tv,503730,187920,315810
anc_2screen_90cov,no_treatment_effect,263000,ptb,syph,3480,2610,870
anc_2screen_90cov,no_treatment_effect,263000,ptb,none,392370,392370,0
anc_2screen_90cov,no_treatment_effect,263000,lbw,ng,71340,2610,68730
anc_2screen_90cov,no_treatment_effect,263000,lbw,ct,160080,26970,133110
anc_2screen_90cov,no_treatment_effect,263000,lbw,tv,170520,45240,125280
anc_2screen_90cov,no_treatment_effect,263000,lbw,syph,3480,2610,870
anc_2screen_90cov,no_treatment_effect,263000,lbw,none,63510,63510,0
anc_2screen_90cov,no_treatment_effect,263000,stillbirth,syph,0,0,0
anc_2screen_90cov,no_treatment_effect,263000,nnd,syph,0,0,0
anc_2screen_90cov,central_reversible,263000,ptb,ng,21750,2610,19140
anc_2screen_90cov,central_reversible,263000,ptb,ct,157470,39150,118320
anc_2screen_90cov,central_reversible,263000,ptb,tv,236640,91350,145290
anc_2screen_90cov,central_reversible,263000,ptb,syph,375840,263610,112230
anc_2screen_90cov,central_reversible,263000,ptb,none,355830,355830,0
anc_2screen_90cov,central_reversible,263000,lbw,ng,9570,0,9570
anc_2screen_90cov,central_reversible,263000,lbw,ct,43500,6960,36540
anc_2screen_90cov,central_reversible,263000,lbw,tv,60030,14790,45240
anc_2screen_90cov,central_reversible,263000,lbw,syph,180090,128760,51330
anc_2screen_90cov,central_reversible,263000,lbw,none,58290,58290,0
anc_2screen_90cov,central_reversible,263000,stillbirth,syph,51330,51330,0
anc_2screen_90cov,central_reversible,263000,nnd,syph,5220,5220,0
anc_2screen_90cov,weak_effects,263000,ptb,ng,16530,4350,12180
anc_2screen_90cov,weak_effects,263000,ptb,ct,133110,38280,94830
anc_2screen_90cov,weak_effects,263000,ptb,tv,215760,93960,121800
anc_2screen_90cov,weak_effects,263000,ptb,syph,232290,157470,74820
anc_2screen_90cov,weak_effects,263000,ptb,none,348000,348000,0
anc_2screen_90cov,weak_effects,263000,lbw,ng,3480,0,3480
anc_2screen_90cov,weak_effects,263000,lbw,ct,27840,9570,18270
anc_2screen_90cov,weak_effects,263000,lbw,tv,37410,12180,25230
anc_2screen_90cov,weak_effects,263000,lbw,syph,87870,72210,15660
anc_2screen_90cov,weak_effects,263000,lbw,none,54810,54810,0
anc_2screen_90cov,weak_effects,263000,stillbirth,syph,53940,53940,0
anc_2screen_90cov,weak_effects,263000,nnd,syph,7830,7830,0
anc_2screen_90cov,strong_effects,263000,ptb,ng,26970,2610,24360
anc_2screen_90cov,strong_effects,263000,ptb,ct,184440,40020,144420
anc_2screen_90cov,strong_effects,263000,ptb,tv,272310,90480,181830
anc_2screen_90cov,strong_effects,263000,ptb,syph,544620,389760,154860
anc_2screen_90cov,strong_effects,263000,ptb,none,352350,352350,0
anc_2screen_90cov,strong_effects,263000,lbw,ng,27840,870,26970
anc_2screen_90cov,strong_effects,263000,lbw,ct,102660,9570,93090
anc_2screen_90cov,strong_effects,263000,lbw,tv,133110,18270,114840
anc_2screen_90cov,strong_effects,263000,lbw,syph,462840,310590,152250
anc_2screen_90cov,strong_effects,263000,lbw,none,60030,60030,0
anc_2screen_90cov,strong_effects,263000,stillbirth,syph,36540,36540,0
anc_2screen_90cov,strong_effects,263000,nnd,syph,7830,7830,0
