scenario_id,assumption_id,draw_idx,n_deliveries,n_ptb,n_lbw,n_stillbirths,dalys,hiv_prev_final,syph_prev_final,ng_prev_final,ct_prev_final,tv_prev_final
anc_1screen_50cov,strong_effects,343,29321958.0,3773712.0,1711290.0,57942.0,590469.0,0.053987544478697004,0.061726339783404804,0.0193537392498978,0.13716438607499543,0.020016074561128
anc_1screen_50cov,weak_effects,75,28278306.0,1689192.0,325380.0,23142.0,263557.8,0.11162040861167162,0.0015843214251292,0.0059787683168514,0.049004555754384005,0.008947789873097401
anc_1screen_50cov,weak_effects,78,29377812.0,2115144.0,386454.0,17226.0,328442.4,0.077527073565587,0.0197023878186642,0.023119478031406,0.18887782549858062,0.2819983798328538
anc_1screen_50cov,weak_effects,236,29477340.0,2017356.0,369402.0,37584.0,312521.4,0.05407193354011861,0.011974144469543401,0.0,0.22346358450040524,0.08049233674832382
anc_1screen_50cov,weak_effects,263,30292878.0,2084172.0,376536.0,22272.0,323326.8,0.0116632263853256,0.0183400413357988,0.0166770090689438,0.1314432599094006,0.1894962595740098
anc_1screen_50cov,weak_effects,343,29292552.0,1910694.0,373752.0,64902.0,297548.7,0.05474510356866741,0.0623194130597988,0.018212420444481202,0.1358214846149982,0.0188287558878308
anc_1screen_75cov,central_reversible,75,28300404.0,2195532.0,596646.0,19488.0,342345.0,0.1116566281115722,0.00045080044281560006,0.007311255274369201,0.047559702186531605,0.0082203565968244
anc_1screen_75cov,central_reversible,78,29403216.0,3295038.0,988494.0,17226.0,511742.7,0.0753466425646446,0.0183995394358088,0.0249516673311966,0.1881940626017906,0.28232425303384684
anc_1screen_75cov,central_reversible,236,29498220.0,3023946.0,881832.0,28710.0,468399.3,0.0529923099026262,0.0152359855933074,0.0,0.22635437565739921,0.0831503084609884
anc_1screen_75cov,central_reversible,263,30322458.0,3194292.0,958914.0,19662.0,495987.0,0.011574524544183201,0.015728872474473,0.0184444454560954,0.13193288107407303,0.19235641429937061
anc_1screen_75cov,central_reversible,343,29321436.0,2991408.0,969180.0,58116.0,465363.0,0.054448806325593804,0.062386856703226815,0.018659311757755603,0.1372378146265206,0.0234172764957822
anc_1screen_75cov,no_treatment_effect,75,28308060.0,2519694.0,787872.0,25404.0,392256.9,0.1107112333552474,0.0100026412305706,0.0073272597010408,0.044021812484606605,0.009607605708144201
anc_1screen_75cov,no_treatment_effect,78,29447586.0,4397850.0,1554516.0,17052.0,681323.1,0.07501788217269681,0.018823259020914602,0.024231275033903002,0.1883488124012878,0.2832018327726186
anc_1screen_75cov,no_treatment_effect,236,29501874.0,3937272.0,1415838.0,37932.0,607590.6,0.0533690224472146,0.0262268595637762,0.0002908103916246,0.22350748465455803,0.08118760837862521
anc_1screen_75cov,no_treatment_effect,263,30337770.0,4050720.0,1430628.0,19662.0,627705.0,0.011562361720887402,0.0178091106290672,0.016012288299516002,0.13076488927937321,0.19252962067893342
anc_1screen_75cov,no_treatment_effect,343,29339358.0,3940056.0,1556256.0,60030.0,610392.0,0.0527158894286842,0.0620501803043668,0.018802853956175803,0.13682198760124203,0.019884870314388604
anc_1screen_75cov,strong_effects,75,28314324.0,2593296.0,955782.0,22620.0,405576.6,0.1108449442800326,0.0019700553415476,0.0063814809496856,0.046945362770438606,0.0096481605388242
anc_1screen_75cov,strong_effects,78,29442192.0,4167996.0,1724514.0,6090.0,651508.2,0.0733237169195448,0.000297960119184,0.025190607273015003,0.18972773428640022,0.283964165651975
anc_1screen_75cov,strong_effects,236,29493696.0,3863496.0,1535028.0,36888.0,601135.2,0.0521731901600756,0.028708948027597804,0.0,0.22124220803420241,0.08209603333617661
anc_1screen_75cov,strong_effects,263,30320892.0,3995214.0,1656480.0,19314.0,624303.3,0.011398079703654002,0.020243266724587202,0.017449496222362002,0.1325879091085502,0.18939377330203422
anc_1screen_75cov,strong_effects,343,29323002.0,3739086.0,1694760.0,58812.0,585118.5,0.0540039820849668,0.060490076047141,0.0186240141614986,0.13841148734719602,0.018286394878726603
anc_1screen_75cov,weak_effects,75,28278132.0,1689366.0,324510.0,23142.0,263549.1,0.1116196932711444,0.0015843214251292,0.0055491434575016,0.050737638019914,0.0082607171703746
anc_1screen_75cov,weak_effects,78,29377812.0,2113230.0,384888.0,17226.0,328155.3,0.077527073565587,0.0197023878186642,0.022263375275411203,0.19031888619311882,0.28156268511312466
anc_1screen_75cov,weak_effects,236,29477166.0,2014398.0,366444.0,37584.0,312077.7,0.054072266006501404,0.011974144469543401,0.0,0.22342351836108781,0.0815524066437408
anc_1screen_75cov,weak_effects,263,30292530.0,2083128.0,375666.0,22272.0,323187.6,0.011663355539182402,0.0183400413357988,0.0163961269389576,0.13227665258691462,0.18991684185810823
anc_1screen_75cov,weak_effects,343,29292378.0,1906518.0,372186.0,65076.0,296922.3,0.054745724496324,0.0623194130597988,0.0177307630716412,0.1355517156692438,0.018729333689171603
anc_1screen_90cov,central_reversible,75,28300578.0,2194314.0,596646.0,19488.0,342179.7,0.11165593337966381,0.00045080044281560006,0.008081109189212801,0.04682344467405221,0.0088465857669212
anc_1screen_90cov,central_reversible,78,29402520.0,3291036.0,985884.0,17400.0,511090.2,0.0753614347255222,0.0184016582220174,0.023597348205832803,0.1875566378320988,0.282124986317098
anc_1screen_90cov,central_reversible,236,29498394.0,3021684.0,878352.0,28884.0,468025.2,0.052992012322438,0.0152359855933074,0.0,0.2254656962766702,0.0821239106929722
anc_1screen_90cov,central_reversible,263,30322458.0,3192204.0,957174.0,19836.0,495552.0,0.0115745255515528,0.015728872474473,0.0184972929264262,0.1330570264293702,0.19198829934335263
anc_1screen_90cov,central_reversible,343,29321610.0,2986188.0,967092.0,58116.0,464527.8,0.05444879306320181,0.062386856703226815,0.0188530671688506,0.1379114137141972,0.0235734580347614
anc_1screen_90cov,no_treatment_effect,75,28307886.0,2520390.0,788742.0,25404.0,392361.3,0.1107243263862856,0.0100026412305706,0.007230748217239201,0.0439577488032286,0.0097729133382824
